Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
5,580,3.35,100,126,Valid
6,100,3.396,105,147,Valid
6,604,3.254,119,145,Valid
7,124,3.52,115,218,Valid
7,652,3.426,113,183,Valid
8,188,2.954,120,103,Valid
8,732,3.175,105,174,Valid
9,252,2.908,117,140,Valid
9,780,3.129,110,160,Valid
10,284,2.934,120,138,Valid
10,820,2.946,110,123,Valid
11,364,2.891,108,148,Valid
11,916,2.921,110,163,Valid
12,460,3.36,110,213,Valid
12,996,3.16,111,143,Valid
13,493,3.167,119,151,Valid
14,45,3.421,108,186,Valid
14,557,3.119,120,153,Valid
15,69,3.233,113,173,Valid
15,613,3.04,110,162,Valid
16,141,2.964,115,146,Valid
16,685,3.028,108,130,Valid
17,205,3.132,117,165,Valid
17,765,3.277,107,197,Valid
18,333,3.109,107,155,Valid
18,861,3.231,110,200,Valid
19,445,3.604,105,197,Valid
19,973,3.429,111,201,Valid
20,541,3.076,108,124,Valid
21,61,3.152,111,134,Valid
21,581,2.962,113,151,Valid
22,125,2.852,113,157,Valid
22,653,2.936,113,170,Valid
25,454,4.023,,246,Valid
25,926,3.03,133,87,Valid
26,406,3.226,122,82,Valid
26,902,3.231,117,175,Valid
27,414,3.076,115,194,Valid
27,974,3,108,169,Valid
28,518,2.845,115,125,Valid
29,14,2.893,115,152,Valid
29,542,2.558,120,57,Valid
30,14,2.797,119,168,Valid
30,550,2.687,115,143,Valid
31,70,2.875,111,174,Valid
31,590,2.789,117,125,Valid
32,111,3.068,111,152,Valid
32,639,3.348,111,212,Valid
33,167,3.409,119,174,Valid
33,727,3.825,105,253,Valid
34,287,3.551,108,139,Valid
34,815,3.264,113,129,Valid
35,319,3.071,113,159,Valid
35,847,3.139,113,201,Valid
36,399,2.603,122,94,Valid
36,863,2.621,119,115,Valid
37,367,2.855,115,151,Valid
37,887,2.581,120,110,Valid
38,351,2.67,119,186,Valid
38,895,2.319,125,62,Valid
39,376,2.946,107,217,Valid
47,328,3.048,,280,Valid
47,856,2.578,133,65,Valid
48,344,3.274,117,17,Valid
48,840,3.962,117,245,Valid
49,360,3.721,113,272,Valid
49,896,3.18,119,150,Valid
50,393,3.5,119,135,Valid
50,897,4.3,113,247,Valid
51,353,3.97,122,267,Valid
51,897,3.391,120,136,Valid
52,409,3.487,110,159,Valid
52,921,3.703,117,202,Valid
53,449,3.274,120,157,Valid
53,953,3.33,113,181,Valid
54,441,3.226,125,169,Valid
54,953,3.411,115,182,Valid
55,473,3.282,117,179,Valid
56,1,3.426,113,162,Valid
56,521,3.287,115,158,Valid
57,57,3.216,110,176,Valid
57,577,3.424,115,202,Valid
58,113,3.523,113,178,Valid
58,625,3.277,119,148,Valid
59,138,3.35,115,174,Valid
59,650,3.399,117,175,Valid
60,170,3.315,115,160,Valid
60,698,3.299,113,146,Valid
61,234,3.559,108,234,Valid
61,802,3.376,110,163,Valid
62,346,3.52,105,186,Valid
62,882,3.487,113,193,Valid
63,442,3.472,108,170,Valid
63,986,3.828,108,202,Valid
64,490,3.526,120,180,Valid
65,26,3.381,113,155,Valid
65,546,3.274,113,142,Valid
66,74,3.561,111,224,Valid
66,626,2.997,117,90,Valid
67,138,3.322,108,165,Valid
67,650,3.404,115,190,Valid
68,179,3.134,119,147,Valid
68,691,3.183,111,168,Valid
69,203,3.147,120,152,Valid
69,723,3.241,113,174,Valid
70,259,3.32,111,177,Valid
70,787,3.279,115,147,Valid
71,323,3.134,110,171,Valid
71,859,3.269,111,160,Valid
72,371,3.36,117,193,Valid
72,915,3.312,111,173,Valid
73,443,3.434,111,159,Valid
73,955,3.399,117,176,Valid
74,491,3.32,113,170,Valid
75,11,3.096,117,150,Valid
75,531,3.348,113,174,Valid
76,59,3.487,111,179,Valid
76,579,3.571,115,209,Valid
77,107,3.297,117,164,Valid
77,611,3.645,115,193,Valid
78,156,3.759,110,187,Valid
78,684,3.381,119,166,Valid
79,204,3.373,113,141,Valid
79,708,3.706,117,207,Valid
80,244,3.556,110,180,Valid
80,788,3.51,110,179,Valid
81,324,3.391,115,149,Valid
81,852,3.462,110,157,Valid
82,388,3.241,113,146,Valid
82,908,3.269,111,202,Valid
83,452,3.147,115,140,Valid
83,964,3.175,113,167,Valid
84,492,3.137,117,127,Valid
84,996,3.404,115,201,Valid
85,508,3.045,120,152,Valid
86,28,3.205,111,182,Valid
86,572,3.312,110,159,Valid
87,117,3.665,110,206,Valid
87,645,3.665,113,201,Valid
88,189,3.264,115,160,Valid
88,725,3.272,108,138,Valid
89,221,3.548,117,203,Valid
89,749,3.503,115,187,Valid
90,269,3.581,117,184,Valid
90,789,3.399,115,156,Valid
91,301,3.454,115,173,Valid
91,837,3.452,113,179,Valid
92,373,3.432,111,159,Valid
92,901,3.498,111,173,Valid
93,429,3.216,115,155,Valid
93,973,3.335,108,152,Valid
94,509,3.421,110,184,Valid
95,29,3.112,122,138,Valid
95,517,3.068,119,162,Valid
96,37,3.396,113,189,Valid
96,574,3.251,113,143,Valid
97,86,3.287,111,186,Valid
97,638,3.145,113,145,Valid
98,150,3.071,117,124,Valid
98,646,3.208,117,176,Valid
99,174,3.104,119,137,Valid
99,686,3.129,113,172,Valid
100,198,3.104,119,174,Valid
100,702,3.391,117,175,Valid
